[2026-04-12 22:13:55] Log file: ./results/train_cifar10_mobilenet_none_20260412_221355.log
[2026-04-12 22:13:55] Device  : cuda
[2026-04-12 22:13:55] Args    : {'dataset': 'cifar10', 'model': 'mobilenet', 'n_clients': 5, 'rounds': 100, 'local_epochs': 1, 'local_bs': 64, 'lr': 0.001, 'defense': 'none', 'alpha': 0.7, 'sigma': 0.001, 'ckpt_dir': './checkpoints', 'output_dir': './results', 'seed': 42}
[2026-04-12 22:13:55] Loading dataset: cifar10  n_clients=5
[2026-04-12 23:05:49] Round  80/100  train_acc=7.60%  val_acc=10.00%  (40.9s)
[2026-04-12 23:06:27] Round  81/100  train_acc=9.80%  val_acc=10.00%  (37.9s)
[2026-04-12 23:07:04] Round  82/100  train_acc=9.80%  val_acc=10.00%  (37.4s)
[2026-04-12 23:07:42] Round  83/100  train_acc=11.40%  val_acc=10.00%  (38.0s)
[2026-04-12 23:08:20] Round  84/100  train_acc=11.40%  val_acc=10.00%  (37.7s)
[2026-04-12 23:08:58] Round  85/100  train_acc=9.80%  val_acc=10.00%  (38.2s)
[2026-04-12 23:09:37] Round  86/100  train_acc=9.80%  val_acc=10.00%  (38.7s)
[2026-04-12 23:10:15] Round  87/100  train_acc=9.80%  val_acc=10.00%  (38.3s)
[2026-04-12 23:10:54] Round  88/100  train_acc=8.00%  val_acc=10.00%  (38.8s)
[2026-04-12 23:11:32] Round  89/100  train_acc=9.80%  val_acc=10.00%  (37.9s)
[2026-04-12 23:12:10] Round  90/100  train_acc=11.40%  val_acc=10.00%  (38.3s)
[2026-04-12 23:12:51] Round  91/100  train_acc=11.40%  val_acc=10.00%  (40.2s)
[2026-04-12 23:13:32] Round  92/100  train_acc=11.00%  val_acc=10.00%  (41.0s)
[2026-04-12 23:14:10] Round  93/100  train_acc=11.40%  val_acc=10.00%  (38.6s)
[2026-04-12 23:14:49] Round  94/100  train_acc=8.00%  val_acc=10.00%  (38.6s)
[2026-04-12 23:15:28] Round  95/100  train_acc=8.00%  val_acc=10.00%  (39.2s)
[2026-04-12 23:16:08] Round  96/100  train_acc=11.40%  val_acc=10.00%  (40.1s)
[2026-04-12 23:16:48] Round  97/100  train_acc=11.40%  val_acc=10.00%  (40.2s)
[2026-04-12 23:17:29] Round  98/100  train_acc=10.20%  val_acc=10.00%  (41.2s)
[2026-04-12 23:18:10] Round  99/100  train_acc=9.80%  val_acc=10.00%  (40.7s)
[2026-04-12 23:18:49] Round 100/100  train_acc=9.80%  val_acc=10.00%  (38.6s)
[2026-04-12 23:18:49] Last checkpoint saved to: ./checkpoints/cifar10_mobilenet_last.pth
[2026-04-12 23:18:49] 
Training complete in 64.9 min.  Best val_acc=10.00%
[2026-04-12 23:18:49] Use checkpoint: ./checkpoints/cifar10_mobilenet.pth
